name.firstName,name.lastName,age,address.line1,address.line2,address.city,address.state,gender,contact.email,contact.phone
Rohit,Prasad,5,A-563 Rakshak Society,New Pune Road,Pune,Maharashtra,male,rohit.prasad@example.com,9876543210
Jane,Doe,28,123 Main St,Apt 4B,New York,NY,female,jane.doe@example.com,1234567890
John,Smith,61,789 Oak Ave,,Springfield,IL,male,john.smith@example.com,5551234567
Alice,Wonder,62,Wonderland Lane,,Fantasyland,CA,female,alice.wonder@example.com,9998887777
Priya,Sharma,34,12 MG Road,Near Park,Indore,Madhya Pradesh,female,priya.sharma@example.com,9876576543
Amit,Patel,47,99 Satya Nagar Lane,,Ahmedabad,Gujarat,male,amit.patel@example.com,8765432101
Sunita,Reddy,23,Unit 502,Emerald Heights,Hyderabad,Telangana,female,sunita.reddy@example.com,7894561230
Carlos,Mendez,38,302 West Elm St,,Austin,TX,male,carlos.mendez@example.com,6543210987
Emily,Johnson,6,8 Cherry Blossom Dr,,Seattle,WA,female,emily.johnson@example.com,1239876543
Liam,Torres,49,882 Lake View Blvd,Apt 8,Miami,FL,male,liam.torres@example.com,3214567890
Sanjay,Verma,57,61 Sunrise Coop,Sector 9,Noida,Uttar Pradesh,male,sanjay.verma@example.com,9988776655
Neha,Kapoor,31,345 Silk Ave,,Mumbai,Maharashtra,female,neha.kapoor@example.com,7788995566
Sarah,Green,45,16 Rosewood Court,Apt 10,Chicago,IL,female,sarah.green@example.com,5566778899
David,Lee,53,202 Ash St,Floor 3,Boston,MA,male,david.lee@example.com,4455667788
Jessica,Chen,27,1 Harmony Place,,San Francisco,CA,female,jessica.chen@example.com,8899001122
Arjun,Murthy,37,17 North Avenue,Pavitra Nagar,Bengaluru,Karnataka,male,arjun.murthy@example.com,9900112233
Sneha,Bose,29,14 Riverside Complex,Block B,Kolkata,West Bengal,female,sneha.bose@example.com,2233445566
Aditya,Deshmukh,42,11 Summit Tower,Powai,Mumbai,Maharashtra,male,aditya.deshmukh@example.com,1122334455
Rachel,Kim,48,105 Midtown Plaza,,Atlanta,GA,female,rachel.kim@example.com,6677889900
Michael,Brown,55,401 Sandy Shores Rd,Bend View,Orlando,FL,male,michael.brown@example.com,7788556699
Gaurav,Singh,39,89 Pacific Avenue,3rd Floor,Patna,Bihar,male,gaurav.singh@example.com,8899776655
Deepika,Pandey,26,201 Oceanic Towers,,Chennai,Tamil Nadu,female,deepika.pandey@example.com,3344556677
Oscar,Gomez,30,789 Liberty St,Apt 9B,Denver,CO,male,oscar.gomez@example.com,2233557799
Ananya,Mishra,22,66 Lotus Leaf Apts,,Lucknow,Uttar Pradesh,female,ananya.mishra@example.com,2345678901
Tom,Nelson,36,12 Maple Lane,,Dallas,TX,male,tom.nelson@example.com,1209998881
Meera,Mathew,33,35 Fernhill Road,Near Bridge,Thiruvananthapuram,Kerala,female,meera.mathew@example.com,9080706050
Vivaan,Kumar,44,102 Sky Heights,Pitampura,Delhi,Delhi,male,vivaan.kumar@example.com,8877665544
Olivia,Martins,40,50 Desert Springs,Suite 2,Phoenix,AZ,female,olivia.martins@example.com,9099888776
Suresh,Rana,63,45 Highway View Plots,,Dehradun,Uttarakhand,male,suresh.rana@example.com,2233221100
Kavita,Nair,37,3 Royal Park,Near Mall,Ernakulam,Kerala,female,kavita.nair@example.com,9988223344
Harsh,Joshi,32,84 Crystal Arcade,Apt 33,Nagpur,Maharashtra,male,harsh.joshi@example.com,6677885544
Sophia,White,21,2 Lighthouse Rd,,Boston,MA,female,sophia.white@example.com,2211445566
Navin,Shetty,58,999 Hill Top,Green County,Belgaum,Karnataka,male,navin.shetty@example.com,9090908080
Ritika,Agarwal,50,101 Star Galaxy,Phase 1,Jaipur,Rajasthan,female,ritika.agarwal@example.com,8888777644
Lucas,Wilson,24,98 Civic Drive,,Sacramento,CA,male,lucas.wilson@example.com,5557779991
Divya,Singhal,29,8 Sapphire Heights,Tower D,Bhopal,Madhya Pradesh,female,divya.singhal@example.com,8877886655
Samir,Tiwari,41,17 Maple Woods,Front Street,Kanpur,Uttar Pradesh,male,samir.tiwari@example.com,7788992233
Maya,Pillai,18,67 Ocean Isle,,Goa,Goa,female,maya.pillai@example.com,1234432111
Vikram,Dwivedi,54,412 Silver Sands,Apt 6J,Agra,Uttar Pradesh,male,vikram.dwivedi@example.com,6655443322
Ava,Garcia,35,789 Botanica Gardens,Block 7,Los Angeles,CA,female,ava.garcia@example.com,7778883332
Manoj,Chauhan,43,159 Tulip Estate,,Amritsar,Punjab,male,manoj.chauhan@example.com,9922334455
